,User_ID,session_duration,count_total_url,count_unique_url,session_number
916,10x2217145yz7381,0.0,1,1,0
918,10x2217145yz7381,1263.0,2,2,1
917,10x2217145yz7381,1263.0,2,2,1
922,10x2217171yz7380,21.0,11,11,2
923,10x2217171yz7380,21.0,11,11,2
924,10x2217171yz7380,21.0,11,11,2
925,10x2217171yz7380,21.0,11,11,2
926,10x2217171yz7380,21.0,11,11,2
927,10x2217171yz7380,21.0,11,11,2
928,10x2217171yz7380,21.0,11,11,2
929,10x2217171yz7380,21.0,11,11,2
930,10x2217171yz7380,21.0,11,11,2
931,10x2217171yz7380,21.0,11,11,2
932,10x2217171yz7380,21.0,11,11,2
933,10x2217171yz7380,21.0,11,11,2
934,10x2217171yz7380,21.0,11,11,2
1774,10x2217171yz7381,110.0,1,1,3
1775,10x2217171yz7381,919.0,1,1,4
1780,10x2217212yz7380,17.0,12,12,5
1781,10x2217212yz7380,17.0,12,12,5
1782,10x2217212yz7380,17.0,12,12,5
1783,10x2217212yz7380,17.0,12,12,5
1784,10x2217212yz7380,17.0,12,12,5
1785,10x2217212yz7380,17.0,12,12,5
1786,10x2217212yz7380,17.0,12,12,5
1787,10x2217212yz7380,17.0,12,12,5
1788,10x2217212yz7380,17.0,12,12,5
1789,10x2217212yz7380,17.0,12,12,5
1790,10x2217212yz7380,17.0,12,12,5
1791,10x2217212yz7380,17.0,12,12,5
2382,10x2217212yz7381,0.0,1,1,6
2383,10x2217212yz7381,616.0,1,1,7
2384,10x2217212yz7381,353.0,1,1,8
2388,10x2217220yz7380,68.0,13,13,9
2389,10x2217220yz7380,68.0,13,13,9
2390,10x2217220yz7380,68.0,13,13,9
2391,10x2217220yz7380,68.0,13,13,9
2392,10x2217220yz7380,68.0,13,13,9
2393,10x2217220yz7380,68.0,13,13,9
2394,10x2217220yz7380,68.0,13,13,9
2395,10x2217220yz7380,68.0,13,13,9
2396,10x2217220yz7380,68.0,13,13,9
2397,10x2217220yz7380,68.0,13,13,9
2398,10x2217220yz7380,68.0,13,13,9
2399,10x2217220yz7380,68.0,13,13,9
2400,10x2217220yz7380,68.0,13,13,9
2848,10x2217220yz7381,10.0,2,2,10
2849,10x2217220yz7381,10.0,2,2,10
2851,10x2217220yz7381,2435.0,2,2,11
2850,10x2217220yz7381,2435.0,2,2,11
2852,10x2217220yz7381,2435.0,2,2,11
3669,10x2217222yz7381,0.0,1,1,12
3670,10x2217222yz7381,772.0,2,2,13
3671,10x2217222yz7381,772.0,2,2,13
3672,10x2217222yz7381,774.0,1,1,14
4577,10x2217239yz7381,23.0,2,2,15
4578,10x2217239yz7381,23.0,2,2,15
4579,10x2217239yz7381,882.0,2,2,16
4580,10x2217239yz7381,882.0,2,2,16
4581,10x2217239yz7381,552.0,1,1,17
5424,10x2219103yz7381,678.0,1,1,19
5426,10x2219103yz7381,1139.0,3,3,20
5427,10x2219103yz7381,1139.0,3,3,20
5425,10x2219103yz7381,1139.0,3,3,20
6010,10x2219153yz7381,0.0,1,1,21
6011,10x2219153yz7381,1026.0,1,1,22
6012,10x2219153yz7381,349.0,1,1,23
6013,10x2219153yz7381,794.0,2,2,24
6014,10x2219153yz7381,794.0,2,2,24
6817,10x2219173yz7381,0.0,1,1,25
6818,10x2219173yz7381,1600.0,2,2,26
6819,10x2219173yz7381,1600.0,2,2,26
6820,10x2219173yz7381,1600.0,2,2,26
7702,10x2219190yz7381,0.0,1,1,27
7703,10x2219190yz7381,321.0,1,1,28
7704,10x2219190yz7381,460.0,1,1,29
7705,10x2219190yz7381,608.0,1,1,30
7706,10x2219190yz7381,727.0,1,1,31
8728,10x2219194yz7381,0.0,1,1,32
8729,10x2219194yz7381,372.0,1,1,33
8730,10x2219194yz7381,786.0,2,2,34
8731,10x2219194yz7381,786.0,2,2,34
8732,10x2219194yz7381,404.0,1,1,35
9433,10x221994yz7381,1600.0,2,2,36
9434,10x221994yz7381,1600.0,2,2,36
9435,10x221994yz7381,1600.0,2,2,36
9436,10x221994yz7381,1600.0,2,2,36
9437,10x221994yz7381,1600.0,2,2,36
9434,10x221994yz7381,473.0,1,1,38
9435,10x221994yz7381,535.0,1,1,39
9436,10x221994yz7381,535.0,1,1,39
